adsh,tag,version,ddate,qtrs,uom,dimh,iprx,value,footnote,footlen,dimn,coreg,durp,datp,dcml
0001193125-24-075464,AdjustmentToShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,0001193125-24-075464,20231231,4,CAD,0x4f485fd4695fe949520de6b8c28656da,0,-74223000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeCostsPostemploymentBenefitPlan,0001193125-24-075464,20221231,4,CAD,0x7fa2f60a02213815d09a503479c49d01,0,0.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeCostsPostemploymentBenefitPlan,0001193125-24-075464,20221231,4,CAD,0xa726e23f609fc1da9d72afe0e84a5456,0,3000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeCostsPostemploymentBenefitPlan,0001193125-24-075464,20231231,4,CAD,0x7fa2f60a02213815d09a503479c49d01,0,0.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeCostsPostemploymentBenefitPlan,0001193125-24-075464,20231231,4,CAD,0xa726e23f609fc1da9d72afe0e84a5456,0,3000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20221231,4,CAD,0x00000000,0,172029000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20221231,4,CAD,0x00000000,1,172029000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20221231,4,CAD,0x5c27984d7fee012bf2bb7a1dadf67794,0,-3000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20221231,4,CAD,0x8c9d8e3dc25e0fcb37efe3e1ea777f84,0,0.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20221231,4,CAD,0x8e499bf9bd211e3f003de38c1c5ea874,0,172029000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20221231,4,CAD,0xb5e2fdd972a35c82c0ea0dfaad241d2e,0,0.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20221231,4,CAD,0xd022ac3fb468495cb47b2a69ac5d1533,0,0.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20231231,4,CAD,0x00000000,0,245539000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20231231,4,CAD,0x00000000,1,245539000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20231231,4,CAD,0x13319b7b1347b873f32566fd4e7feeb7,0,244400000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20231231,4,CAD,0x5c27984d7fee012bf2bb7a1dadf67794,0,-3000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20231231,4,CAD,0x8c9d8e3dc25e0fcb37efe3e1ea777f84,0,0.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20231231,4,CAD,0x8e499bf9bd211e3f003de38c1c5ea874,0,245539000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20231231,4,CAD,0xb00d517922c65d058fa148f7fda5e293,0,-244400000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20231231,4,CAD,0xb5e2fdd972a35c82c0ea0dfaad241d2e,0,0.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdministrativeExpense,ifrs/2023,20231231,4,CAD,0xd022ac3fb468495cb47b2a69ac5d1533,0,0.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AllowanceAccountForCreditLossesOfFinancialAssets,ifrs/2023,20231231,0,CAD,0x00000000,0,0.0,,0,0,,0.0,0.0,-3
0001193125-24-075464,AmortisationIntangibleAssetsOtherThanGoodwill,ifrs/2023,20221231,4,CAD,0x92bcb20d173e95f9bad7ff86a1f464d0,0,-3454000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AmortisationIntangibleAssetsOtherThanGoodwill,ifrs/2023,20221231,4,CAD,0x9c42087417fed139149c814496c6e3fc,0,-4193000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AmortisationIntangibleAssetsOtherThanGoodwill,ifrs/2023,20221231,4,CAD,0xaeca7334490189a7f11e46e0974c5d6e,0,-739000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AmortisationIntangibleAssetsOtherThanGoodwill,ifrs/2023,20231231,4,CAD,0x92bcb20d173e95f9bad7ff86a1f464d0,0,-3484000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AmortisationOfFinancingCosts,0001193125-24-075464,20231231,4,CAD,0x00000000,0,1377000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AmortisationOfFinancingCosts,0001193125-24-075464,20231231,4,CAD,0x0904ae52e61f3864cbf5b5afe3ca8703,0,1377000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AmortisationOfFinancingCosts,0001193125-24-075464,20231231,4,CAD,0x167e0d820e7b348994f3e4c54228dfbe,0,0.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AmortisationOfFinancingCosts,0001193125-24-075464,20231231,4,CAD,0x7773b0c506b0a192042e0be994f48c79,0,0.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AmortisationOfFinancingCosts,0001193125-24-075464,20231231,4,CAD,0xe7b06c577769c2d2a698675e2e028cbd,0,0.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AmortisationOfFinancingCosts,0001193125-24-075464,20231231,4,CAD,0xf385be2688ef2e8e8daeb6c74dceaa73,0,0.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AmountsReceivableFromTaxAuthorityRelatedToTaxDisputes,0001193125-24-075464,20221231,0,CAD,0x00000000,0,295221000.0,,0,0,,0.0,0.0,-3
0001193125-24-075464,AmountsReceivableFromTaxAuthorityRelatedToTaxDisputes,0001193125-24-075464,20231231,0,CAD,0x00000000,0,209125000.0,,0,0,,0.0,0.0,-3
0001193125-24-075464,AmountsReceivedDuringPeriodFromTaxAuthorityRelatedToTaxDisputes,0001193125-24-075464,20231231,4,CAD,0x00000000,0,86097000.0,,0,0,,0.01095891,0.0,0
0001193125-24-075464,ApplicableTaxRate,ifrs/2023,20221231,4,pure,0x00000000,0,0.269,,0,0,,0.01095891,0.0,3
0001193125-24-075464,ApplicableTaxRate,ifrs/2023,20231231,4,pure,0x00000000,0,0.269,,0,0,,0.01095891,0.0,3
