dimhash,segments,segt
0x5aef68c247acaa4a4420676116d832a1,TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=DeferredTaxAssetsLongTermInvestmentAndOther;,0
0x167e0d820e7b348994f3e4c54228dfbe,LiabilitiesArisingFromFinancingActivities=ShareCapital;,0
0x87e299e57bfcfdf88e26baa9b5948124,RangesOfExercisePricesForOutstandingShareOptions=PriceRange14Dollars71CentsTo16Dollars38Cents;,0
0x13319b7b1347b873f32566fd4e7feeb7,Segments=WestinghouseElectricCorporation;,0
0x3f4ddc2fec1979e57637a6b847fd74aa,ClassesOfAssets=CanadianEquitySecurities;DefinedBenefitPlans=PensionDefinedBenefitPlans;,0
0x3a31b2652a8f79931a7dbe08e224c645,CategoriesOfFinancialAssets=FinancialAssetsAtAmortisedCostCategory;ClassesOfFinancialAssets=ForeignCurrencyContracts;,0
0x3d26e30e38f0c4b3eef73b3e7c9cbf89,DefinedBenefitPlans=OtherBenefitPlans;NetDefinedBenefitLiabilityAsset=PresentValueOfDefinedBenefitObligation;,0
0xd860c99f94357e7382ada0540bd51571,ClassesOfFinancialLiabilities=ForeignCurrencyContracts;Maturity=LaterThanThreeMonthsAndNotLaterThanOneYear;,0
0x08408db647371054e1c9dd392e694260,DefinedBenefitPlans=PensionDefinedBenefitPlans;NetDefinedBenefitLiabilityAsset=PresentValueOfDefinedBenefitObligation;,0
0xfb277b7a97951aaea791859af4b03c30,ClassesOfFinancialLiabilities=ForeignCurrencyContracts;,0
0x2a652ae516b3caf7812c9cd4a98ed7f9,TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=DeferredTaxLiabilityPropertyPlantEquipment;,0
0xcf7519a5b187fb863b7b43023d70d792,SignificantInvestmentsInSubsidiaries=PowerResourcesInc;,0
0xff9bfa087c08efaba722eb70e3c6d5f4,ClassesOfProvisions=OtherEnvironmentRelatedProvision;Segments=FuelServices;,0
0x9aa7e7a21112bd4cd79d061cb8070061,BusinessCombinations=CigarLake;Scenario=AfterAcquiringAdditionalInterestInJointVenture;,0
0x159049a1258b8020745b9f99eb91758f,TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiryNoExpiry;,0
0xebb6e2235c88d2e8c07ac55e68c54273,ClassesOfFinancialAssets=InterestRateSwapContract;LevelsOfFairValueHierarchy=Level2OfFairValueHierarchy;,0
0x056f7bc5544ac1b03a2b2551af8f1b33,ClassesOfLiabilities=CurrentPortionOfOtherLiabilities;,0
0x5863f487d0e54e0fce6d764322fc9a52,BorrowingsByName=ProductLoan;Maturity=LaterThanOneYearAndNotLaterThanTwoYears;ProductsAndServices=Uf6;,0
0x672401160560766a5c0f16051121fff1,Range=BottomOfRange;TypesOfSharebasedPaymentArrangements=PhantomStockOptionPlan;,0
0x755476fcbe650d3048cd99f6496faf9a,ComponentsOfEquity=EquityAttributableToOwnersOfParent;,0
0x275e109c4fe37247124b4fd06aacbc73,GeographicalAreas=US;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2034;,0
0x240f5755ad2c4d553a5cf9e24a6c03df,CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmount=GrossCarryingAmount;ClassesOfPropertyPlantAndEquipment=ExplorationAndEvaluationAssets;,0
0x02bc8a5dfe6b8abf577236b9066626eb,JointVentures=JointVentureInkaiLlp;,0
0x262f3a0ad0b06562dbef3b44d543836d,ActuarialAssumptions=ActuarialAssumptionOfDiscountRates;DefinedBenefitPlans=PensionDefinedBenefitPlans;,0
0x5fb4039b3b5bca6d3c7ee3db52e88eee,Segments=OtherSegment;TypesOfContracts=FixedpriceContracts;,0
0xffad9347ef7dfc3580d6c782d49ba7a6,CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmount=AccumulatedDepreciationAmortisationAndImpairment;ClassesOfPropertyPlantAndEquipment=Machinery;,0
0xf5745e7afc8bcc1b2a465cf1bbf2340a,CategoriesOfRelatedParties=Idemitsu;JointOperations=CigarLake;,0
0x294f7d60e01a02866d54f7189033e7de,GeographicalAreas=Europe;Segments=Uranium;,0
0x12faf8377383b01ce390c53e97c277ed,ClassesOfPropertyPlantAndEquipment=ExplorationAndEvaluationAssets;,0
0x82b1cb1fb93cc8193e76004b2969454f,GeographicalAreas=ForeignCountries;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2030;,0
0x1cd2c677c05e6bcddfae21cb59d368f3,CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmount=AccumulatedDepreciationAmortisationAndImpairment;ClassesOfPropertyPlantAndEquipment=ConstructionInProgress;,0
0x6dc1e4ffd78b7cf5cb57ce78cd78d800,GeographicalAreas=US;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2042;,0
0xb7eafbf990f808d7ac7b03654186e919,BorrowingsByName=ProductLoan;Maturity=NotLaterThanOneYear;ProductsAndServices=Uf6;,0
0xcc706a2e4fc44587d77cc75aa23fc932,TypesOfRisks=InterestRateRisk;,0
0xc26c16fe0f361eacc75d11bd95ac93c2,GeographicalAreas=US;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2027;,0
0x39e14c6a692159d8c307bbcb275de897,Segments=FuelServices;TypesOfContracts=FixedpriceContracts;,0
0x7b3950585c346afd937ef0df5877b217,GeographicalAreas=NorthAmerica;Segments=FuelServices;,0
0x7017ecccab034e18f692bad57a91af4b,ClassesOfFinancialInstruments=AccountsPayableAndAccruedLiabilities;TypesOfRisks=CurrencyRisk;,0
0x9b86df3846f0c679d2e9d66d247ecde2,ClassesOfFinancialInstruments=TradeReceivables;TypesOfRisks=CurrencyRisk;,0
0x1703a2b12c051f0f73e380cf1484bdf8,Maturity=LaterThanThreeYearsAndNotLaterThanFiveYears;,0
